,pedf_mip4_cp_1_spec,pedf_mip4_cp_sense,mmp1_1.spec,mmp1_sens,apoaII_1.spec,apoaII_sens,gro_mcp1_mdc.spec,gro_mcp1_mdc_sens,sbp_cp_1.spec,sbp_cp_sens,final_1.spec,final_sens
1,1,1,1,1,1,1,1,1,1,1,1,1
2,0.985915493,1,0.985915493,1,0.985915493,1,0.985915493,1,0.985915493,1,0.985915493,1
3,0.971830986,1,0.971830986,1,0.971830986,1,0.985915493,0.976744186,0.971830986,1,0.971830986,1
4,0.957746479,1,0.957746479,1,0.957746479,1,0.971830986,0.976744186,0.957746479,1,0.957746479,1
5,0.957746479,0.976744186,0.957746479,0.976744186,0.943661972,1,0.957746479,0.976744186,0.943661972,1,0.943661972,1
6,0.943661972,0.976744186,0.943661972,0.976744186,0.929577465,1,0.943661972,0.976744186,0.929577465,1,0.929577465,1
7,0.929577465,0.976744186,0.929577465,0.976744186,0.915492958,1,0.929577465,0.976744186,0.929577465,0.976744186,0.915492958,1
8,0.915492958,0.976744186,0.915492958,0.976744186,0.901408451,1,0.915492958,0.976744186,0.915492958,0.976744186,0.901408451,1
9,0.901408451,0.976744186,0.901408451,0.976744186,0.887323944,1,0.901408451,0.976744186,0.915492958,0.953488372,0.887323944,1
10,0.887323944,0.976744186,0.887323944,0.976744186,0.873239437,1,0.887323944,0.976744186,0.901408451,0.953488372,0.873239437,1
11,0.873239437,0.976744186,0.873239437,0.976744186,0.85915493,1,0.873239437,0.976744186,0.887323944,0.953488372,0.85915493,1
12,0.85915493,0.976744186,0.85915493,0.976744186,0.85915493,0.976744186,0.873239437,0.953488372,0.873239437,0.953488372,0.845070423,1
13,0.845070423,0.976744186,0.845070423,0.976744186,0.845070423,0.976744186,0.85915493,0.953488372,0.873239437,0.930232558,0.830985915,1
14,0.830985915,0.976744186,0.845070423,0.953488372,0.830985915,0.976744186,0.845070423,0.953488372,0.85915493,0.930232558,0.816901408,1
15,0.816901408,0.976744186,0.830985915,0.953488372,0.816901408,0.976744186,0.830985915,0.953488372,0.845070423,0.930232558,0.802816901,1
16,0.816901408,0.953488372,0.816901408,0.953488372,0.802816901,0.976744186,0.830985915,0.930232558,0.830985915,0.930232558,0.802816901,0.976744186
17,0.802816901,0.953488372,0.802816901,0.953488372,0.788732394,0.976744186,0.816901408,0.930232558,0.816901408,0.930232558,0.788732394,0.976744186
18,0.788732394,0.953488372,0.788732394,0.953488372,0.774647887,0.976744186,0.802816901,0.930232558,0.802816901,0.930232558,0.774647887,0.976744186
19,0.774647887,0.953488372,0.774647887,0.953488372,0.76056338,0.976744186,0.788732394,0.930232558,0.788732394,0.930232558,0.76056338,0.976744186
20,0.76056338,0.953488372,0.76056338,0.953488372,0.76056338,0.953488372,0.774647887,0.930232558,0.774647887,0.930232558,0.746478873,0.976744186
21,0.746478873,0.953488372,0.746478873,0.953488372,0.746478873,0.953488372,0.76056338,0.930232558,0.774647887,0.906976744,0.732394366,0.976744186
22,0.732394366,0.953488372,0.732394366,0.953488372,0.746478873,0.930232558,0.746478873,0.930232558,0.76056338,0.906976744,0.718309859,0.976744186
23,0.718309859,0.953488372,0.718309859,0.953488372,0.732394366,0.930232558,0.732394366,0.930232558,0.76056338,0.88372093,0.704225352,0.976744186
24,0.704225352,0.953488372,0.704225352,0.953488372,0.718309859,0.930232558,0.718309859,0.930232558,0.746478873,0.88372093,0.690140845,0.976744186
25,0.690140845,0.953488372,0.704225352,0.930232558,0.704225352,0.930232558,0.704225352,0.930232558,0.732394366,0.88372093,0.676056338,0.976744186
26,0.676056338,0.953488372,0.690140845,0.930232558,0.690140845,0.930232558,0.704225352,0.906976744,0.718309859,0.88372093,0.661971831,0.976744186
27,0.661971831,0.953488372,0.676056338,0.930232558,0.676056338,0.930232558,0.704225352,0.88372093,0.704225352,0.88372093,0.647887324,0.976744186
28,0.647887324,0.953488372,0.661971831,0.930232558,0.661971831,0.930232558,0.690140845,0.88372093,0.704225352,0.860465116,0.633802817,0.976744186
29,0.633802817,0.953488372,0.647887324,0.930232558,0.661971831,0.906976744,0.676056338,0.88372093,0.690140845,0.860465116,0.61971831,0.976744186
30,0.633802817,0.930232558,0.633802817,0.930232558,0.647887324,0.906976744,0.661971831,0.88372093,0.676056338,0.860465116,0.605633803,0.976744186
31,0.61971831,0.930232558,0.61971831,0.930232558,0.633802817,0.906976744,0.647887324,0.88372093,0.661971831,0.860465116,0.591549296,0.976744186
32,0.61971831,0.906976744,0.605633803,0.930232558,0.61971831,0.906976744,0.633802817,0.88372093,0.647887324,0.860465116,0.577464789,0.976744186
33,0.605633803,0.906976744,0.591549296,0.930232558,0.605633803,0.906976744,0.61971831,0.88372093,0.633802817,0.860465116,0.563380282,0.976744186
34,0.591549296,0.906976744,0.591549296,0.906976744,0.591549296,0.906976744,0.605633803,0.88372093,0.61971831,0.860465116,0.549295775,0.976744186
35,0.577464789,0.906976744,0.591549296,0.88372093,0.577464789,0.906976744,0.605633803,0.860465116,0.605633803,0.860465116,0.535211268,0.976744186
36,0.563380282,0.906976744,0.577464789,0.88372093,0.563380282,0.906976744,0.605633803,0.837209302,0.605633803,0.837209302,0.521126761,0.976744186
37,0.549295775,0.906976744,0.563380282,0.88372093,0.549295775,0.906976744,0.591549296,0.837209302,0.605633803,0.813953488,0.507042254,0.976744186
38,0.535211268,0.906976744,0.549295775,0.88372093,0.549295775,0.88372093,0.577464789,0.837209302,0.605633803,0.790697674,0.492957746,0.976744186
39,0.535211268,0.88372093,0.535211268,0.88372093,0.535211268,0.88372093,0.563380282,0.837209302,0.605633803,0.76744186,0.478873239,0.976744186
40,0.521126761,0.88372093,0.521126761,0.88372093,0.521126761,0.88372093,0.549295775,0.837209302,0.591549296,0.76744186,0.478873239,0.953488372
41,0.507042254,0.88372093,0.507042254,0.88372093,0.507042254,0.88372093,0.535211268,0.837209302,0.577464789,0.76744186,0.464788732,0.953488372
42,0.492957746,0.88372093,0.492957746,0.88372093,0.507042254,0.860465116,0.521126761,0.837209302,0.563380282,0.76744186,0.450704225,0.953488372
43,0.478873239,0.88372093,0.478873239,0.88372093,0.492957746,0.860465116,0.507042254,0.837209302,0.549295775,0.76744186,0.436619718,0.953488372
44,0.464788732,0.88372093,0.464788732,0.88372093,0.478873239,0.860465116,0.492957746,0.837209302,0.549295775,0.744186047,0.436619718,0.930232558
45,0.450704225,0.88372093,0.450704225,0.88372093,0.464788732,0.860465116,0.492957746,0.813953488,0.535211268,0.744186047,0.436619718,0.906976744
46,0.436619718,0.88372093,0.436619718,0.88372093,0.464788732,0.837209302,0.492957746,0.790697674,0.521126761,0.744186047,0.422535211,0.906976744
47,0.422535211,0.88372093,0.436619718,0.860465116,0.450704225,0.837209302,0.478873239,0.790697674,0.521126761,0.720930233,0.408450704,0.906976744
48,0.408450704,0.88372093,0.422535211,0.860465116,0.436619718,0.837209302,0.464788732,0.790697674,0.521126761,0.697674419,0.394366197,0.906976744
49,0.394366197,0.88372093,0.408450704,0.860465116,0.422535211,0.837209302,0.450704225,0.790697674,0.507042254,0.697674419,0.38028169,0.906976744
50,0.394366197,0.860465116,0.394366197,0.860465116,0.408450704,0.837209302,0.436619718,0.790697674,0.492957746,0.697674419,0.366197183,0.906976744
51,0.38028169,0.860465116,0.38028169,0.860465116,0.394366197,0.837209302,0.422535211,0.790697674,0.492957746,0.674418605,0.366197183,0.88372093
52,0.366197183,0.860465116,0.366197183,0.860465116,0.38028169,0.837209302,0.408450704,0.790697674,0.478873239,0.674418605,0.352112676,0.88372093
53,0.366197183,0.837209302,0.366197183,0.837209302,0.366197183,0.837209302,0.394366197,0.790697674,0.464788732,0.674418605,0.338028169,0.88372093
54,0.352112676,0.837209302,0.366197183,0.813953488,0.352112676,0.837209302,0.38028169,0.790697674,0.464788732,0.651162791,0.323943662,0.88372093
55,0.338028169,0.837209302,0.352112676,0.813953488,0.338028169,0.837209302,0.366197183,0.790697674,0.464788732,0.627906977,0.309859155,0.88372093
56,0.323943662,0.837209302,0.352112676,0.790697674,0.323943662,0.837209302,0.366197183,0.76744186,0.450704225,0.627906977,0.295774648,0.88372093
57,0.323943662,0.813953488,0.352112676,0.76744186,0.323943662,0.813953488,0.366197183,0.744186047,0.436619718,0.627906977,0.295774648,0.860465116
58,0.323943662,0.790697674,0.338028169,0.76744186,0.309859155,0.813953488,0.352112676,0.744186047,0.422535211,0.627906977,0.281690141,0.860465116
59,0.323943662,0.76744186,0.323943662,0.76744186,0.295774648,0.813953488,0.352112676,0.720930233,0.422535211,0.604651163,0.267605634,0.860465116
60,0.309859155,0.76744186,0.323943662,0.744186047,0.281690141,0.813953488,0.338028169,0.720930233,0.408450704,0.604651163,0.253521127,0.860465116
61,0.309859155,0.744186047,0.323943662,0.720930233,0.267605634,0.813953488,0.323943662,0.720930233,0.394366197,0.604651163,0.23943662,0.860465116
62,0.309859155,0.720930233,0.309859155,0.720930233,0.267605634,0.790697674,0.309859155,0.720930233,0.38028169,0.604651163,0.225352113,0.860465116
63,0.309859155,0.697674419,0.309859155,0.697674419,0.253521127,0.790697674,0.309859155,0.697674419,0.38028169,0.581395349,0.225352113,0.837209302
64,0.295774648,0.697674419,0.309859155,0.674418605,0.23943662,0.790697674,0.295774648,0.697674419,0.366197183,0.581395349,0.225352113,0.813953488
65,0.281690141,0.697674419,0.295774648,0.674418605,0.225352113,0.790697674,0.295774648,0.674418605,0.352112676,0.581395349,0.211267606,0.813953488
66,0.267605634,0.697674419,0.281690141,0.674418605,0.225352113,0.76744186,0.281690141,0.674418605,0.338028169,0.581395349,0.197183099,0.813953488
67,0.267605634,0.674418605,0.267605634,0.674418605,0.225352113,0.744186047,0.281690141,0.651162791,0.323943662,0.581395349,0.197183099,0.790697674
68,0.253521127,0.674418605,0.253521127,0.674418605,0.225352113,0.720930233,0.267605634,0.651162791,0.309859155,0.581395349,0.183098592,0.790697674
69,0.23943662,0.674418605,0.253521127,0.651162791,0.211267606,0.720930233,0.267605634,0.627906977,0.295774648,0.581395349,0.169014085,0.790697674
70,0.23943662,0.651162791,0.23943662,0.651162791,0.197183099,0.720930233,0.267605634,0.604651163,0.281690141,0.581395349,0.154929577,0.790697674
71,0.225352113,0.651162791,0.23943662,0.627906977,0.197183099,0.697674419,0.267605634,0.581395349,0.267605634,0.581395349,0.14084507,0.790697674
72,0.225352113,0.627906977,0.225352113,0.627906977,0.197183099,0.674418605,0.253521127,0.581395349,0.253521127,0.581395349,0.126760563,0.790697674
73,0.225352113,0.604651163,0.211267606,0.627906977,0.197183099,0.651162791,0.23943662,0.581395349,0.23943662,0.581395349,0.126760563,0.76744186
74,0.211267606,0.604651163,0.197183099,0.627906977,0.183098592,0.651162791,0.225352113,0.581395349,0.225352113,0.581395349,0.112676056,0.76744186
75,0.197183099,0.604651163,0.183098592,0.627906977,0.169014085,0.651162791,0.225352113,0.558139535,0.211267606,0.581395349,0.098591549,0.76744186
76,0.197183099,0.581395349,0.183098592,0.604651163,0.169014085,0.627906977,0.225352113,0.534883721,0.197183099,0.581395349,0.084507042,0.76744186
77,0.197183099,0.558139535,0.169014085,0.604651163,0.169014085,0.604651163,0.211267606,0.534883721,0.197183099,0.558139535,0.084507042,0.744186047
78,0.183098592,0.558139535,0.169014085,0.581395349,0.154929577,0.604651163,0.197183099,0.534883721,0.183098592,0.558139535,0.084507042,0.720930233
79,0.169014085,0.558139535,0.169014085,0.558139535,0.154929577,0.581395349,0.183098592,0.534883721,0.169014085,0.558139535,0.070422535,0.720930233
80,0.154929577,0.558139535,0.154929577,0.558139535,0.154929577,0.558139535,0.183098592,0.511627907,0.154929577,0.558139535,0.056338028,0.720930233
81,0.154929577,0.534883721,0.154929577,0.534883721,0.14084507,0.558139535,0.183098592,0.488372093,0.14084507,0.558139535,0.056338028,0.697674419
82,0.14084507,0.534883721,0.14084507,0.534883721,0.14084507,0.534883721,0.169014085,0.488372093,0.126760563,0.558139535,0.056338028,0.674418605
83,0.14084507,0.511627907,0.126760563,0.534883721,0.14084507,0.511627907,0.154929577,0.488372093,0.126760563,0.534883721,0.042253521,0.674418605
84,0.126760563,0.511627907,0.126760563,0.511627907,0.14084507,0.488372093,0.14084507,0.488372093,0.126760563,0.511627907,0.042253521,0.651162791
85,0.126760563,0.488372093,0.126760563,0.488372093,0.126760563,0.488372093,0.126760563,0.488372093,0.112676056,0.511627907,0.042253521,0.627906977
86,0.112676056,0.488372093,0.112676056,0.488372093,0.112676056,0.488372093,0.112676056,0.488372093,0.098591549,0.511627907,0.028169014,0.627906977
87,0.112676056,0.465116279,0.098591549,0.488372093,0.098591549,0.488372093,0.098591549,0.488372093,0.084507042,0.511627907,0.028169014,0.604651163
88,0.112676056,0.441860465,0.084507042,0.488372093,0.084507042,0.488372093,0.084507042,0.488372093,0.084507042,0.488372093,0.028169014,0.581395349
89,0.098591549,0.441860465,0.084507042,0.465116279,0.084507042,0.465116279,0.070422535,0.488372093,0.084507042,0.465116279,0.014084507,0.581395349
90,0.098591549,0.418604651,0.084507042,0.441860465,0.084507042,0.441860465,0.056338028,0.488372093,0.070422535,0.465116279,0.014084507,0.558139535
91,0.084507042,0.418604651,0.070422535,0.441860465,0.084507042,0.418604651,0.056338028,0.465116279,0.070422535,0.441860465,0.014084507,0.534883721
92,0.084507042,0.395348837,0.056338028,0.441860465,0.084507042,0.395348837,0.042253521,0.465116279,0.070422535,0.418604651,0.014084507,0.511627907
93,0.084507042,0.372093023,0.056338028,0.418604651,0.070422535,0.395348837,0.042253521,0.441860465,0.070422535,0.395348837,0.014084507,0.488372093
94,0.070422535,0.372093023,0.042253521,0.418604651,0.070422535,0.372093023,0.042253521,0.418604651,0.056338028,0.395348837,0.014084507,0.465116279
95,0.056338028,0.372093023,0.028169014,0.418604651,0.070422535,0.348837209,0.042253521,0.395348837,0.056338028,0.372093023,0.014084507,0.441860465
96,0.042253521,0.372093023,0.028169014,0.395348837,0.070422535,0.325581395,0.042253521,0.372093023,0.056338028,0.348837209,0.014084507,0.418604651
97,0.042253521,0.348837209,0.028169014,0.372093023,0.056338028,0.325581395,0.028169014,0.372093023,0.042253521,0.348837209,0.014084507,0.395348837
98,0.042253521,0.325581395,0.014084507,0.372093023,0.042253521,0.325581395,0.028169014,0.348837209,0.042253521,0.325581395,0.014084507,0.372093023
99,0.028169014,0.325581395,0.014084507,0.348837209,0.028169014,0.325581395,0.028169014,0.325581395,0.042253521,0.302325581,0.014084507,0.348837209
100,0.028169014,0.302325581,0.014084507,0.325581395,0.014084507,0.325581395,0.028169014,0.302325581,0.028169014,0.302325581,0.014084507,0.325581395
101,0.028169014,0.279069767,0.014084507,0.302325581,0.014084507,0.302325581,0.028169014,0.279069767,0.028169014,0.279069767,0.014084507,0.302325581
102,0.028169014,0.255813953,0.014084507,0.279069767,0.014084507,0.279069767,0.028169014,0.255813953,0.028169014,0.255813953,0.014084507,0.279069767
103,0.014084507,0.255813953,0.014084507,0.255813953,0.014084507,0.255813953,0.028169014,0.23255814,0.014084507,0.255813953,0.014084507,0.255813953
104,0.014084507,0.23255814,0.014084507,0.23255814,0,0.255813953,0.014084507,0.23255814,0.014084507,0.23255814,0.014084507,0.23255814
105,0.014084507,0.209302326,0.014084507,0.209302326,0,0.23255814,0.014084507,0.209302326,0.014084507,0.209302326,0,0.23255814
106,0.014084507,0.186046512,0.014084507,0.186046512,0,0.209302326,0.014084507,0.186046512,0,0.209302326,0,0.209302326
107,0.014084507,0.162790698,0.014084507,0.162790698,0,0.186046512,0.014084507,0.162790698,0,0.186046512,0,0.186046512
108,0,0.162790698,0,0.162790698,0,0.162790698,0.014084507,0.139534884,0,0.162790698,0,0.162790698
109,0,0.139534884,0,0.139534884,0,0.139534884,0,0.139534884,0,0.139534884,0,0.139534884
110,0,0.11627907,0,0.11627907,0,0.11627907,0,0.11627907,0,0.11627907,0,0.11627907
111,0,0.093023256,0,0.093023256,0,0.093023256,0,0.093023256,0,0.093023256,0,0.093023256
112,0,0.069767442,0,0.069767442,0,0.069767442,0,0.069767442,0,0.069767442,0,0.069767442
113,0,0.046511628,0,0.046511628,0,0.046511628,0,0.046511628,0,0.046511628,0,0.046511628
114,0,0.023255814,0,0.023255814,0,0.023255814,0,0.023255814,0,0.023255814,0,0.023255814
115,0,0,0,0,0,0,0,0,0,0,0,0